Level1	Level2
Clustering-based_subsystems	Fatty_acid_metabolic_cluster
Fatty_Acids_Lipids_and_Isoprenoids	Fatty_acids
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Fe-S_clusters
Carbohydrates	Fermentation
Virulence	Fimbriae_of_the_Chaperone/Usher_Assembly_Pathway
Clustering-based_subsystems	Flagella_protein?
Motility_and_Chemotaxis	Flagellar_motility_in_Prokaryota
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Folate_and_pterines
Respiration	General_Stress_Response_and_Stationary_Phase_Response
Amino_Acids_and_Derivatives	Glutamine_glutamate_aspartate_asparagine;_ammonia_assimilation
Cell_Wall_and_Capsule	Gram-Negative_cell_wall_components
Cell_Wall_and_Capsule	Gram-Positive_cell_wall_components
Stress_Response	Heat_shock
Clustering-based_subsystems	heat_shock_cell_division_proteases_and_a_methyltransferase
Amino_Acids_and_Derivatives	Histidine_Metabolism
Secondary_Metabolism	Hydrocarbons
Clustering-based_subsystems	Hypothetical_associated_with_RecF
Clustering-based_subsystems	Hypothetical_in_Lysine_biosynthetic_cluster
Clustering-based_subsystems	Hypothetical_lipase_related_to_Phosphatidate_metabolism
Clustering-based_subsystems	Hypothetical_protein_possible_functionally_linked_with_Alanyl-tRNA_synthetase
Clustering-based_subsystems	Hypothetical_Related_to_Dihydroorate_Dehydrogenase
Sulfur_Metabolism	Inorganic_sulfur_assimilation
Virulence_Disease_and_Defense	Invasion_and_intracellular_resistance
Clustering-based_subsystems	Isoprenoid/cell_wall_biosynthesis
Fatty_Acids_Lipids_and_Isoprenoids	Isoprenoids
Miscellaneous	Lactate_racemization
Photosynthesis	Light-harvesting_complexes
Secondary_Metabolism	Lipid-derived_mediators
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Lipoic_acid
Clustering-based_subsystems	Lysine_Biosynthesis
Amino_Acids_and_Derivatives	Lysine_threonine_methionine_and_cysteine
Motility_and_Chemotaxis	Magnetotaxis
Clustering-based_subsystems	Membrane-bound_hydrogenase
Metabolism_of_Aromatic_Compounds	Metabolism_of_central_aromatic_intermediates
Clustering-based_subsystems	Methylamine_utilization
Respiration	Mitochondrial_electron_transport_system_in_plants
Clustering-based_subsystems	Molybdopterin_oxidoreductase
Carbohydrates	Monosaccharides
Cofactors_Vitamins_Prosthetic_Groups_Pigments	NAD_and_NADP
Carbohydrates	Nucleotide_sugars
Clustering-based_subsystems	Nucleotidyl-phosphate_metabolic_cluster
Carbohydrates	One-carbon_Metabolism
Carbohydrates	Organic_acids
Sulfur_Metabolism	Organic_sulfur_assimilation
Stress_Response	Osmotic_stress
Stress_Response	Oxidative_stress
Phages_Prophages_Transposable_elements_Plasmids	Pathogenicity_islands
Metabolism_of_Aromatic_Compounds	Peripheral_pathways_for_catabolism_of_aromatic_compounds
Stress_Response	Periplasmic_Stress
Phages_Prophages_Transposable_elements	Phage_family-specific_subsystems
Phages_Prophages_Transposable_elements	Phage_Host_Interactions
Phages_Prophages_Transposable_elements_Plasmids	Phages_Prophages
Fatty_Acids_Lipids_and_Isoprenoids	Phospholipids
Clustering-based_subsystems	Pigment_biosynthesis
Secondary_Metabolism	Plant_Alkaloids
Secondary_Metabolism	Plant_Glucosinolates
Secondary_Metabolism	Plant_Hormones
Miscellaneous	Plant-Prokaryote_comparative_genomics
Phages_Prophages_Transposable_elements_Plasmids	Plasmid_related_functions
Respiration	Plastidial_(cyanobacterial)_electron_transport_system
Carbohydrates	Polysaccharides
Clustering-based_subsystems	Probably_GTP_or_GMP_signaling_related
Clustering-based_subsystems	Probably_organic_hydroperoxide_resistance_related_hypothetical_protein
Clustering-based_subsystems	Probably_Pyrimidine_biosynthesis-related
Clustering-based_subsystems	Probably_Ybbk-related_hypothetical_membrane_proteins
Regulation_and_Cell_signaling	Programmed_Cell_Death_and_Toxin-antitoxin_Systems
Amino_Acids_and_Derivatives	Proline_and_4-hydroxyproline
Clustering-based_subsystems	Proteasome_related_clusters
Membrane_Transport	Protein_and_nucleoprotein_secretion_system_Type_IV
Protein_Metabolism	Protein_biosynthesis
Protein_Metabolism	Protein_degradation
Clustering-based_subsystems	Protein_export?
Protein_Metabolism	Protein_folding
Protein_Metabolism	Protein_processing_and_modification
Membrane_Transport	Protein_secretion_system_Chaperone-Usher_pathway_(CU)
Membrane_Transport	Protein_secretion_system_Type_II
Membrane_Transport	Protein_secretion_system_Type_III
Membrane_Transport	Protein_secretion_system_Type_VI
Membrane_Transport	Protein_secretion_system_Type_VII
Membrane_Transport	Protein_secretion_system_Type_VIII_(Extracellular_nucleation/precipitation_pathway_ENP)
Membrane_Transport	Protein_translocation_across_cytoplasmic_membrane
Regulation_and_Cell_signaling	Proteolytic_pathway
Clustering-based_subsystems	proteosome_related
Nucleosides_and_Nucleotides	Purines
Clustering-based_subsystems	Putative_asociate_of_RNA_polymerase_sigma-54_factor_rpoN
Clustering-based_subsystems	Putative_GGDEF_domain_protein_related_to_agglutinin_secretion
Clustering-based_subsystems	Putative_Isoquinoline_1-oxidoreductase_subunit
Clustering-based_subsystems	Putrescine/GABA_utilization_cluster-temporalto_add_to_SSs
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Pyridoxine
Nucleosides_and_Nucleotides	Pyrimidines
Clustering-based_subsystems	Pyruvate_kinase_associated_cluster
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Quinone_cofactors
Regulation_and_Cell_signaling	Quorum_sensing_and_biofilm_formation
Clustering-based_subsystems	Recombination_related_cluster
Clustering-based_subsystems	recX_and_regulatory_cluster
Regulation_and_Cell_signaling	Regulation_of_virulence
Clustering-based_subsystems	Related_to_Menaquinone-cytochrome_C_reductase_
Virulence	Resistance_to_antibiotics_and_toxic_compounds
Respiration	Reverse_electron_transport
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Riboflavin_FMN_FAD
Clustering-based_subsystems	Ribosomal_Protein_L28P_relates_to_a_set_of_uncharacterized_proteins
Clustering-based_subsystems	Ribosome-related_cluster
RNA_Metabolism	RNA_processing_and_modification
Protein_Metabolism	Secretion
Protein_Metabolism	Selenoproteins
Clustering-based_subsystems	Shiga_toxin_cluster
Iron_acquisition_and_metabolism	Siderophores
Regulation_and_Cell_signaling	Signal_transduction_in_Eukaryotes
Motility_and_Chemotaxis	Social_motility_and_nonflagellar_swimming_in_bacteria
Respiration	Sodium_Ion-Coupled_Energetics
Dormancy_and_Sporulation	Spore_DNA_protection
Clustering-based_subsystems	Streptococcus_cluster
Carbohydrates	Sugar_alcohols
Membrane_Transport	Sugar_Phosphotransferase_Systems_PTS
Clustering-based_subsystems	Sulfatases_and_sulfatase_modifying_factor_1_(and_a_hypothetical)
Phages_Prophages_Transposable_elements	Superinfection_Exclusion
Central_metabolism	TCA
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Thiamin
Clustering-based_subsystems	Three_hypotheticals_linked_to_lipoprotein_biosynthesis
Clustering-based_subsystems	TldD_cluster
Virulence_Disease_and_Defense	Toxins_and_superantigens
RNA_Metabolism	Transcription
Clustering-based_subsystems	Translation
Phages_Prophages_Transposable_elements_Plasmids	Transposable_elements
Membrane_Transport	TRAP_transporters
Fatty_Acids_Lipids_and_Isoprenoids	Triacylglycerols
Clustering-based_subsystems	Tricarboxylate_transporter
Clustering-based_subsystems	tRNA_sulfuration
Clustering-based_subsystems	Two_related_proteases
Clustering-based_subsystems	Type_III_secretion_system_extended
Virulence	Type_III_Type_IV_Type_VI_ESAT_secretion_systems
Membrane_Transport	Uni-_Sym-_and_Antiporters
Clustering-based_subsystems	Urate_degradation
