	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12	Y13	Y14	Y15	SRR1646026	SRR1646027	SRR1646028	SRR1646029	SRR1646034	SRR1646035	SRR1646036	SRR1646037	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44	HC02	HC07	HC09	HC11	HC12	HC53	HC61	HC64	HC67	HC70	HC72	HC74	SRS012969_HMP	SRS013951_HMP	SRS014287_HMP	SRS014459_HMP	SRS016095_HMP	SRS016438_HMP	SRS017247_HMP	SRS017916_HMP	SRS022071_HMP	SRS023346_HMP	SRS043667_HMP	SRS045528_HMP	SRS045645_HMP	SRS045739_HMP	SRS047014_HMP	SRS047044_HMP	SRS049959_HMP	SRS053649_HMP	SRS074964_HMP	SRS075078_HMP	SRS075341_HMP	SRS075963_HMP	SRS077335_HMP	SRS077753_HMP	SRS077849_HMP	SRS078242_HMP	SRS078419_HMP	SRS078665_HMP	SRS098571_HMP	SRS098717_HMP	SRS101376_HMP	SRS104197_HMP	SRS104400_HMP	SRS140492_HMP	SRS140513_HMP	SRS142712_HMP	SRS142890_HMP	SRS143991_HMP	SRS145497_HMP	SRS146813_HMP	SRS147445_HMP	SRS147919_HMP	SRS148424_HMP
Aminosugars	0.8099024434	0.5927897314	0.3367980502	0.4713432701	0.2219650127	0.1948276232	0.502639504	0.4106860892	0.5347108936	0.4495971944	0.5273696801	0.3657472743	0.4242549491	0.3553846503	0.7471012183	0.3659216459	0.4856510008	0.4119080949	0.3349282297	0.8287292818	0.3840210562	0.4830917874	0.414567505	0.1407866589	0.1361104228	0.1646895076	0.4553217105	0.1945845956	0.1528332678	0.1235825394	0.1485650114	0.3014436464	0.1587910136	0.1269341633	0.2427255421	0.1573833853	0.1314543908	0.1221576335	0.1576467165	0.2041691797	0.1661032857	0.3270001711	0.1924233933	0.1456955757	0.2118192137	0.2554542885	0.1550039551	0.3253859484	0.3422913424	0.3443321846	0.4742919839	0.5184387975	0.4518386429	0.430243462	0.290100292	0.498353507	0.3972154169	0.3502843205	0.2478691974	0.530995	0.37561	0.679928	0.808288	0.813695	1.32557	1.41172	0.614608	0.766315	1.36865	0.503099	1.03168	1.13376	1.12091	0.994419	0.367318	0.549268	1.04748	1.11373	0.999434	0.665382	0.66048	1.18683	0.810344	0.803933	0.988091	0.479394	0.801909	0.985038	1.00378	0.922109	0.991422	0.75405	0.918122	1.07305	0.89164	0.91916	1.21668	1.06108	1.12438	1.06928	0.99977	0.726673
Anaerobic_degradation_of_aromatic_compounds	0.0714672894	0.005363989	0.0152919984	0.0297512954	0.0052803865	0.0026073027	0.0070581409	0.0229740558	0.0187270388	0.0163906126	0.0379692318	0.0186083924	0.017459276	0	0.0693483178	0	0	0.0047397603	0.0063795853	0	0	0	0.0061193893	0.0027642654	0.0012821006	0.0024308196	0.0016345166	0.0016759264	0.0024030204	0.0023600609	0.0002388199	0.0020666306	0.0014873953	0.0005626606	0.0023059966	0.0008555394	0.0035047344	0.0071150308	0.0056822466	0.0017820788	0.0031391171	0.0230156582	0.0036005651	0.0014134712	0.0009283637	0.0020445122	0.0028396115	0.0180779133	0.0198591556	0.0062790363	0.0281984444	0.0156722648	0.0204790374	0.0257774405	0.0090224211	0.013238351	0.0098557523	0.0093538041	0.0162076228	0.00274555	0.0049796	0.00388928	0.00267935	0.00124211	0.00027761	0.000107403	0.00590974	0.00247037	0.000324063	0.000415883	0.00258995	0.000285432	0.000468075	0.00107959	0.00185395	0.008458	0.000592703	0.00249991	0.00308329	0.00403175	0.00202162	0.000850887	0.00143559	0.00208257	0.00387579	0.0031298	0.00144741	0.00195673	0.00172868	0.00208813	0.00162513	0.00401131	0.00154714	0.000758744	0.000681454	0.00371076	0.00345681	0.00125111	0.00245146	0.000892806	0.000963461	0.00242604
Arabinose	0.0001605983	0	0.0037032819	0.0007559663	0	4.17E-05	0	5.72E-05	0	0.0001541464	3.98E-05	0.0010679767	0	0	0.0001924746	0	0	0.002235736	0	0	0	0	0.0017848219	7.02E-05	0.0002308755	0.0002249758	0.0001625438	0.0001189629	0.0004114031	0.0001598683	0.0002702606	0	2.75E-05	0.0003637648	0.0001676166	8.20E-05	0.0002619529	0.0002999343	0.0005757429	0.0002690431	4.52E-05	0.0001008252	0.0003401784	0.0002106418	7.19E-05	0.0002800198	0.0003955145	0.0006315091	0.0008037047	0.0005615001	0.0016944872	0.001320371	0.0014082314	0.0008834734	0.0005240543	0.0011202447	0.0008135373	0.0007310734	0.0021111869	5.12E-05	0.000170414	0.000157618	0.00012695	0.000176898	7.44E-06	5.56E-06	0.000439714	0.000116641	1.04E-05	3.63E-05	0.000107211	2.88E-05	8.03E-06	0.000265611	5.68E-05	0.000242766	5.90E-06	7.28E-05	0.000144449	7.24E-05	3.97E-05	8.54E-06	4.74E-05	0.000181494	0.000128246	0.00012968	1.27E-05	0.00018009	0.000487838	0.000173846	0.000300558	0.00017923	7.10E-05	6.28E-05	1.91E-05	9.04E-05	0.000170769	1.10E-05	0.000269617	0	4.19E-05	0.000105866
Arginine;_urea_cycle_polyamines	0.6710927189	0.725779358	2.1668548403	1.0182297015	0.7036311398	0.9336786477	0.8127470718	1.6951159754	0.9803746956	1.1942957842	1.1185521043	1.3254855191	1.0714359123	1.3496167976	0.6590305175	1.4677528116	1.3567116988	1.3452895024	1.7040535222	0.2504604052	1.5242206154	1.771336554	1.3061666446	1.6499278715	1.4933195045	1.462843025	1.4396827419	1.5593204417	1.6079312866	1.4808669309	1.4824755468	1.511567468	1.7074005662	1.0542555502	1.3417766992	1.6888989084	1.6838755443	1.4441513039	1.3489118653	1.6047929401	1.5841064193	1.8157207869	1.4325594644	1.635642432	1.3413253985	1.5856182723	1.8288136937	1.328032982	1.2334948566	1.30964782	1.5065172903	1.2255327578	1.2795705069	1.3199373221	1.3628728864	1.2108927787	1.2296598379	1.3509919708	1.4660983141	1.20331	1.33108	1.17374	1.14802	1.00332	0.915146	0.860284	1.12056	1.00526	0.839755	1.21175	0.943422	0.921609	0.911676	1.06638	1.21042	1.1779	0.869078	0.902362	0.9434	0.940522	0.85778	0.930202	0.80987	1.07433	0.98749	1.17943	1.00085	1.03609	0.906686	0.946672	0.911987	1.00395	1.04923	0.901795	0.844953	1.01947	1.09938	0.869358	1.07234	0.97585	0.951787	0.980985
Aromatic_amino_acids_and_derivatives	0.6031206787	1.0105675516	1.0429928233	0.8552173865	0.9673270195	1.0389345029	0.9061281184	1.0896415033	1.0955589281	0.5928140883	0.9490494514	0.9112491698	0.8108483653	1.053222623	0.5775264059	1.1577510451	1.1825337993	1.1375608336	1.0717323612	0	0.9323331982	2.7291549031	1.0438114276	0.9803618544	0.953878457	1.2384659116	1.1403588905	0.9957589385	1.0209592342	1.1800857692	0.9883639644	1.0659631047	1.0568269344	1.2380920663	1.199059536	1.0288861046	0.8595620479	1.1577445321	1.0215910114	1.057461856	0.9024051319	0.9659817538	1.1153599643	1.1282067873	1.1602164799	1.1357313168	1.023229806	1.0718723714	0.9784762591	0.966557318	0.9873489572	1.039332304	0.9841293822	0.9295294618	1.0734560006	0.9816446585	1.0399171345	1.0161790407	1.1241754923	1.17946	1.06944	1.05479	1.02541	0.912606	1.02602	0.931354	1.18458	1.04413	0.938067	1.07813	1.02763	1.01044	1.02954	1.02022	1.1149	0.968255	1.04847	1.00105	0.976506	1.02536	1.03843	1.00803	1.06525	1.08465	1.07496	1.11884	1.17185	1.06942	0.992812	1.06986	0.956217	1.04858	0.987389	1.01755	0.943135	1.02553	1.19351	1.02909	1.03996	1.08382	0.899698	0.969985
ATP_synthases	0.2584912981	0.4016089498	0.377107074	0.4792061753	0.6580056072	0.4851475454	0.7413095787	0.8110215912	0.3501372697	0.2542974519	0.5054772247	0.63945106	0.4122329045	0.5036411897	0.2759404754	1.0749936012	0.8910606496	0.7623859775	0.7974481659	0.5524861878	0.8041627247	0.4830917874	0.7139287499	1.1009413463	1.0228161302	1.0165748119	0.6484410022	1.0532439946	1.0520497038	1.2605315997	0.8556667935	0.7105269778	1.0762983357	0.8324473967	1.1288207311	1.0489239922	1.0888602055	1.0421563572	1.0863662432	0.88322006	0.9786065167	0.8009682258	0.9107745369	0.8801701716	0.8473004193	0.692553417	0.974044495	0.8761285969	0.9022371397	0.7746870857	0.6561548975	0.8737380138	0.8768238457	0.952100582	0.7232839859	0.990773438	0.7409068473	0.7241203969	0.8020900086	0.623366	0.932818	0.771627	0.758048	0.638024	0.598176	0.524718	0.907058	0.680426	0.536474	0.532027	0.633534	0.629363	0.606817	0.710928	0.542573	0.777274	0.653332	0.605408	0.668341	0.647273	0.66702	0.609562	0.611649	0.612271	0.683863	0.617263	0.658012	0.754525	0.696584	0.717406	0.658605	0.800295	0.723631	0.611134	0.57343	0.73298	0.879841	0.595645	0.727195	0.697588	0.62	0.721993
Bacterial_cytostatics_differentiation_factors_and_antibiotics	0.0343498753	0.0229401043	0.0096141422	0.0477011978	0.0007660135	0	0	5.36E-05	0.0531837292	0.0017110246	0.045541088	0.0241362738	0.0035660286	0	0.0332231786	0	0	0	0	0	0	0	0	0	0	0.0001726448	0	0	0	0	0	4.79E-05	0	0	0	2.98E-05	4.19E-05	0	0	4.20E-05	0	0.0001482723	0	0	0	0	4.52E-05	9.02E-05	0.0006848135	0	0.0001529627	0.0004344914	0.0010196587	0.0008121819	0.0020277134	0.0004771229	0.0002210699	0.0001058249	0.0002489607	0.000146133	1.78E-05	2.69E-05	3.47E-05	2.21E-05	1.16E-05	0	8.27E-05	2.81E-05	2.08E-05	2.52E-05	4.08E-05	1.91E-06	1.67E-05	2.89E-06	1.04E-05	5.46E-05	9.42E-06	5.79E-06	2.12E-05	0.000205258	0	3.94E-06	2.36E-05	8.47E-05	1.48E-05	1.03E-05	0.000158427	6.43E-05	9.12E-05	1.10E-05	5.88E-05	6.79E-05	3.71E-05	1.22E-05	0.00058403	4.41E-05	9.63E-05	2.19E-06	6.90E-05	4.48E-05	1.25E-05	5.41E-05
Bacteriocins_ribosomally_synthesized_antibacterial_peptides	0.0413083469	0.0737485547	0.2322318216	0.1573457195	0.090178336	0.0913247797	0.134534719	0.1238081943	0.1285718898	0.3506369772	0.0973538069	0.1127274854	0.2311816709	0.1735520316	0.0393906551	0.0127975429	0.0766503785	0.0798162156	0.0468500797	0.2762430939	0.0236518448	0	0.0711803962	0.0338791926	0.0531157746	0.0479876544	0.045596251	0.0372242918	0.0428754854	0.03106146	0.0385846422	0.0749191338	0.0285549765	0.0437708605	0.0501967303	0.0319857454	0.0368537186	0.0696395231	0.0478806933	0.0503487417	0.0435573719	0.0996262867	0.0567361574	0.0382072441	0.0586071389	0.0456153788	0.0480059741	0.12206706	0.1277636907	0.1114813336	0.143305875	0.1013005391	0.1229553675	0.123547268	0.1089362948	0.1199442035	0.1209844899	0.1079958443	0.1321855756	0.0831262	0.126743	0.134187	0.108237	0.139034	0.15191	0.159469	0.0535561	0.0831403	0.205332	0.110514	0.130961	0.157811	0.174353	0.128803	0.0766574	0.0971682	0.150998	0.178095	0.151029	0.117482	0.0850919	0.146293	0.0970507	0.10683	0.136529	0.0913028	0.13326	0.122532	0.150293	0.127777	0.111839	0.104161	0.116715	0.157123	0.105846	0.126697	0.11623	0.15083	0.146034	0.143939	0.188606	0.129411
Bacteriophage_integration/excision/lysogeny	0.0165098377	0.1753503865	0.0778776138	0.0743560718	0.0735372972	0.1169404235	0.4843086059	0.0996166463	0.0411146036	0.1101529887	0.0665467762	0.0790302771	0.1141129147	0.0680596202	0.018816747	0	0	0.0357717761	0.1594896332	0	0.0473036897	0.4830917874	0.042835725	0.0227028074	0.0168660621	0.0167753178	0.005136384	0.028449125	0.0515452496	0.0258347205	0.0039887591	0.0092400911	0.0340136224	0.0509355082	0.0209311272	0.0121652035	0.0227584689	0.0347311486	0.0276978999	0.0226584737	0.0246380399	0.0454306466	0.0295226322	0.039004093	0.016632165	0.0112858947	0.0423087563	0.0488517361	0.0539005263	0.0367904652	0.1093938495	0.0558562799	0.0685789402	0.0676998703	0.0443836313	0.0665288179	0.0835202111	0.0533004571	0.0619787696	0.00997774	0.0773932	0.0355025	0.0282925	0.0298814	0.0105711	0.00789395	0.0201072	0.0179794	0.0141089	0.00850709	0.0178781	0.0139178	0.0100637	0.0249579	0.00516832	0.0344954	0.0112122	0.00415338	0.0134227	0.0193603	0.0202274	0.0177734	0.0221138	0.0111755	0.0175487	0.0137012	0.0106154	0.0278426	0.0157639	0.0169267	0.0137667	0.0399486	0.0202401	0.014479	0.00797542	0.0164259	0.0205331	0.0126704	0.0362657	0.0200177	0.0274394	0.0181713
Bacteriophage_structural_proteins	0.0076430764	0.2319479486	0.0373663391	0.0291156874	0.0750018421	0.0137815945	0.1278227566	0.0477953089	0.0232098569	0.015747482	0.0181223741	0.0250974529	0.0195893837	0.0220383532	0.0069824757	0.0255950857	0	0.002235736	0	0	0	0	0	0.0667601963	0.1362999781	0.1430266088	0.1333644767	0.1385711285	0.133078132	0.206317527	0.1847017055	0.0932579788	0.0598966312	0.1528522148	0.1159802346	0.1278191169	0.1323106692	0.1624720589	0.2267052363	0.1046535629	0.1824893619	0.1170495786	0.0599855636	0.0483030821	0.0606112103	0.0617624774	0.0513942905	0.01115666	0.0098727274	0.0036049936	0.0653524788	0.0174882778	0.0178509176	0.0123316279	0.0091555368	0.0139359634	0.0103161746	0.0118215193	0.014144288	0.00121572	0.00816217	0.00562699	0.00441268	0.00373002	0.000134965	0.00018839	0.00385098	0.00322952	0.000989787	0.000541231	0.00341353	0.000696793	0.000607568	0.00262787	0.000674576	0.0122463	0.00058593	0.000803822	0.00174761	0.00591211	0.00413755	0.000612017	0.00416977	0.00202799	0.00132855	0.00242265	0.000202548	0.00399444	0.002316	0.00448091	0.00340977	0.00807419	0.00279468	0.00178063	0.00062861	0.00219463	0.0136712	0.000268577	0.0024162	0.0004958	0.00211631	0.00286505
