Phylum	Genus
Actinobacteria	Acidipropionibacterium
Actinobacteria	Cutibacterium
Actinobacteria	Microlunatus
Actinobacteria	Propionibacterium
Actinobacteria	Propionimicrobium
Actinobacteria	Pseudopropionibacterium
Actinobacteria	Tessaracoccus
Actinobacteria	Actinoalloteichus
Actinobacteria	Actinosynnema
Actinobacteria	Alloactinosynnema
Actinobacteria	Amycolatopsis
Actinobacteria	Kibdelosporangium
Actinobacteria	Kutzneria
Actinobacteria	Lentzea
Actinobacteria	Pseudonocardia
Actinobacteria	Saccharomonospora
Actinobacteria	Saccharopolyspora
Actinobacteria	Saccharothrix
Actinobacteria	Kitasatospora
Actinobacteria	Streptomyces
Actinobacteria	Nocardiopsis
Actinobacteria	Thermobifida
Actinobacteria	Streptosporangium
Actinobacteria	Thermomonospora
Actinobacteria	Atopobium
Actinobacteria	Olsenella
Actinobacteria	Coriobacterium
Actinobacteria	Adlercreutzia
Actinobacteria	Cryptobacterium
Actinobacteria	Denitrobacterium
Actinobacteria	Eggerthella
Actinobacteria	Slackia
Actinobacteria	Rubrobacter
Actinobacteria	Conexibacter
Aquificae	Aquifex
Aquificae	Hydrogenobacter
Aquificae	Hydrogenobaculum
Aquificae	Thermocrinis
Aquificae	Persephonella
Aquificae	Sulfurihydrogenibium
Aquificae	Thermosulfidibacter
Aquificae	Desulfurobacterium
Aquificae	Thermovibrio
Armatimonadetes	Fimbriimonas
Bacteroidetes	Bacteroides
Bacteroidetes	Odoribacter
Bacteroidetes	Barnesiella
Bacteroidetes	Fermentimonas
Bacteroidetes	Paludibacter
Bacteroidetes	Parabacteroides
Bacteroidetes	Petrimonas
Bacteroidetes	Porphyromonas
Bacteroidetes	Proteiniphilum
Bacteroidetes	Tannerella
Bacteroidetes	Prevotella
Bacteroidetes	Alistipes
Bacteroidetes	Mucinivorans
Bacteroidetes	Candidatus_Azobacteroides
Bacteroidetes	Draconibacterium
Bacteroidetes	Salinivirga
Bacteroidetes	Arachidicoccus
Bacteroidetes	Chitinophaga
Bacteroidetes	Flavisolibacter
Bacteroidetes	Niabella
Bacteroidetes	Niastella
Bacteroidetes	Candidatus_Amoebophilus
Bacteroidetes	Candidatus_Cardinium
Bacteroidetes	Bernardetia
Bacteroidetes	Algoriphagus
Bacteroidetes	Belliella
Bacteroidetes	Cyclobacterium
Bacteroidetes	Echinicola
Bacteroidetes	Cytophaga
Bacteroidetes	Dyadobacter
Bacteroidetes	Emticicia
Bacteroidetes	Leadbetterella
Bacteroidetes	Runella
Bacteroidetes	Spirosoma
Bacteroidetes	Flammeovirga
Bacteroidetes	Marivirga
Bacteroidetes	Hymenobacter
Bacteroidetes	Pontibacter
Bacteroidetes	Rufibacter
Bacteroidetes	Persicobacter
Bacteroidetes	Blattabacterium
Bacteroidetes	Fluviicola
Bacteroidetes	Owenweeksia
Bacteroidetes	Aequorivita
Bacteroidetes	Algibacter
Bacteroidetes	Capnocytophaga
Bacteroidetes	Cellulophaga
Bacteroidetes	Chryseobacterium
Bacteroidetes	Croceibacter
Bacteroidetes	Dokdonia
Bacteroidetes	Elizabethkingia
Bacteroidetes	Flavobacterium
Bacteroidetes	Formosa
Bacteroidetes	Gramella
Bacteroidetes	Lacinutrix
Bacteroidetes	Lutibacter
Bacteroidetes	Maribacter
Bacteroidetes	Muricauda
Bacteroidetes	Myroides
Bacteroidetes	Nonlabens
Bacteroidetes	Ornithobacterium
Bacteroidetes	Polaribacter
Bacteroidetes	Psychroflexus
Bacteroidetes	Riemerella
Bacteroidetes	Robiginitalea
Bacteroidetes	Salegentibacter
Bacteroidetes	Sediminicola
Bacteroidetes	Seonamhaeicola
Bacteroidetes	Siansivirga
Bacteroidetes	Tenacibaculum
Bacteroidetes	Weeksella
Bacteroidetes	Wenyingzhuangia
Bacteroidetes	Winogradskyella
Bacteroidetes	Zobellia
Bacteroidetes	Zunongwangia
Bacteroidetes	Candidatus_Sulcia
Bacteroidetes	Candidatus_Walczuchella
Bacteroidetes	Haliscomenobacter
Bacteroidetes	Saprospira
Bacteroidetes	Mucilaginibacter
Bacteroidetes	Pedobacter
Bacteroidetes	Pseudopedobacter
Bacteroidetes	Solitalea
Bacteroidetes	Sphingobacterium
Bacteroidetes	Rhodothermus
Bacteroidetes	Salinibacter
Caldiserica	Caldisericum
Calditrichaeota	Caldithrix
Candidatus_Cloacimonetes	Candidatus_Cloacimonas
Chlamydiae	Chlamydia
Chlamydiae	Candidatus_Protochlamydia
Chlamydiae	Parachlamydia
Chlamydiae	Simkania
Chlamydiae	Waddlia
Chlorobi	Chlorobaculum
Chlorobi	Chlorobium
Chlorobi	Chloroherpeton
Chlorobi	Pelodictyon
Chlorobi	Prosthecochloris
Chloroflexi	Anaerolinea
Chloroflexi	Caldilinea
Chloroflexi	Chloroflexus
Chloroflexi	Roseiflexus
Chloroflexi	Dehalogenimonas
Chloroflexi	Dehalococcoides
Chloroflexi	Sphaerobacter
Chloroflexi	Thermomicrobium
Chrysiogenetes	Desulfurispirillum
Cyanobacteria	Gloeobacter
Cyanobacteria	Candidatus_Atelocyanobacterium
Cyanobacteria	Halothece
Cyanobacteria	Geminocystis
Cyanobacteria	Gloeocapsa
Cyanobacteria	Cyanobacterium
Cyanobacteria	Microcystis
Cyanobacteria	Chroococcidiopsis
Cyanobacteria	Fischerella
Cyanobacteria	Anabaena
Cyanobacteria	Nostoc
Cyanobacteria	Trichormus
Cyanobacteria	Calothrix
Cyanobacteria	Rivularia
Cyanobacteria	Geitlerinema
Cyanobacteria	Cyanothece
Cyanobacteria	Crinalium
Cyanobacteria	Microcoleus
Cyanobacteria	Trichodesmium
Cyanobacteria	Moorea
Cyanobacteria	Oscillatoria
Cyanobacteria	Stanieria
Cyanobacteria	Pleurocapsa
Cyanobacteria	Acaryochloris
Cyanobacteria	Leptolyngbya
Cyanobacteria	Synechocystis
Cyanobacteria	Prochlorococcus
Cyanobacteria	Pseudanabaena
Cyanobacteria	Cyanobium
Cyanobacteria	Dactylococcopsis
Cyanobacteria	Synechococcus
Cyanobacteria	Thermosynechococcus
Deferribacteres	Calditerrivibrio
Deferribacteres	Deferribacter
Deferribacteres	Denitrovibrio
Deferribacteres	Flexistipes
Deinococcus-Thermus	Deinococcus
Deinococcus-Thermus	Truepera
Deinococcus-Thermus	Marinithermus
Deinococcus-Thermus	Meiothermus
Deinococcus-Thermus	Oceanithermus
Deinococcus-Thermus	Thermus
Dictyoglomi	Dictyoglomus
Elusimicrobia	Elusimicrobium
Elusimicrobia	Endomicrobium
Fibrobacteres	Fibrobacter
Firmicutes	Alicyclobacillus
Firmicutes	Kyrpidia
Firmicutes	Amphibacillus
Firmicutes	Anoxybacillus
Firmicutes	Bacillus
Firmicutes	Fictibacillus
Firmicutes	Geobacillus
Firmicutes	Halobacillus
Firmicutes	Lentibacillus
Firmicutes	Lysinibacillus
Firmicutes	Oceanobacillus
Firmicutes	Parageobacillus
Firmicutes	Salimicrobium
Firmicutes	Terribacillus
Firmicutes	Virgibacillus
Firmicutes	Listeria
Firmicutes	Aneurinibacillus
Firmicutes	Brevibacillus
Firmicutes	Paenibacillus
Firmicutes	Thermobacillus
Firmicutes	Jeotgalibacillus
Firmicutes	Kurthia
Firmicutes	Planococcus
Firmicutes	Rummeliibacillus
Firmicutes	Solibacillus
Firmicutes	Sporosarcina
Firmicutes	Macrococcus
Firmicutes	Salinicoccus
Firmicutes	Staphylococcus
Firmicutes	Novibacillus
Firmicutes	Exiguobacterium
Firmicutes	Gemella
Firmicutes	Aerococcus
Firmicutes	Carnobacterium
Firmicutes	Jeotgalibaca
Firmicutes	Marinilactibacillus
Firmicutes	Enterococcus
Firmicutes	Melissococcus
Firmicutes	Tetragenococcus
Firmicutes	Vagococcus
Firmicutes	Lactobacillus
Firmicutes	Pediococcus
Firmicutes	Leuconostoc
Firmicutes	Oenococcus
Firmicutes	Weissella
Firmicutes	Lactococcus
Firmicutes	Streptococcus
Firmicutes	Alkaliphilus
Firmicutes	Candidatus_Arthromitus
Firmicutes	Clostridium
Firmicutes	Geosporobacter
Firmicutes	Thermaerobacter
Firmicutes	Acetobacterium
Firmicutes	Eubacterium
Firmicutes	Heliobacterium
Firmicutes	Anaerostipes
Firmicutes	Blautia
Firmicutes	Butyrivibrio
Firmicutes	Cellulosilyticum
Firmicutes	Lachnoclostridium
Firmicutes	Roseburia
Firmicutes	Tyzzerella
Firmicutes	Oscillibacter
Firmicutes	Candidatus_Desulforudis
Firmicutes	Dehalobacter
Firmicutes	Desulfitobacterium
Firmicutes	Desulfosporosinus
Firmicutes	Desulfotomaculum
Firmicutes	Syntrophobotulus
Firmicutes	Thermincola
Firmicutes	Acetoanaerobium
Firmicutes	Clostridioides
Firmicutes	Filifactor
Firmicutes	Peptoclostridium
Firmicutes	Ethanoligenens
Firmicutes	Mageeibacillus
Firmicutes	Ruminiclostridium
Firmicutes	Ruminococcus
Firmicutes	Symbiobacterium
Firmicutes	Syntrophomonas
Firmicutes	Syntrophothermus
Firmicutes	Flavonifractor
Firmicutes	Gottschalkia
Firmicutes	Intestinimonas
Firmicutes	Halanaerobium
Firmicutes	Halothermothrix
Firmicutes	Acetohalobium
Firmicutes	Halobacteroides
Firmicutes	Natranaerobius
Firmicutes	Ammonifex
Firmicutes	Caldanaerobacter
Firmicutes	Carboxydothermus
Firmicutes	Moorella
Firmicutes	Tepidanaerobacter
Firmicutes	Thermacetogenium
Firmicutes	Thermoanaerobacter
Firmicutes	Caldicellulosiruptor
Firmicutes	Thermoanaerobacterium
Firmicutes	Thermosediminibacter
Firmicutes	Mahella
Firmicutes	Coprothermobacter
Firmicutes	Thermodesulfobium
Firmicutes	Erysipelothrix
Firmicutes	Faecalibaculum
Firmicutes	Turicibacter
Firmicutes	Limnochorda
Firmicutes	Acidaminococcus
Firmicutes	Selenomonas
Firmicutes	Pelosinus
Firmicutes	Dialister
Firmicutes	Megasphaera
Firmicutes	Negativicoccus
Firmicutes	Veillonella
Firmicutes	Ezakiella
Firmicutes	Anaerococcus
Firmicutes	Finegoldia
Firmicutes	Murdochiella
Firmicutes	Parvimonas
Firmicutes	Peptoniphilus
Firmicutes	Ndongobacter
Fusobacteria	Fusobacterium
Fusobacteria	Ilyobacter
Fusobacteria	Leptotrichia
Fusobacteria	Sebaldella
Fusobacteria	Sneathia
Fusobacteria	Streptobacillus
Gemmatimonadetes	Gemmatimonas
Ignavibacteriae	Ignavibacterium
Ignavibacteriae	Melioribacter
Kiritimatiellaeota	Kiritimatiella
Nitrospirae	Leptospirillum
Nitrospirae	Nitrospira
Nitrospirae	Thermodesulfovibrio
Planctomycetes	Phycisphaera
Planctomycetes	Isosphaera
Planctomycetes	Paludisphaera
Planctomycetes	Singulisphaera
Planctomycetes	Fuerstia
Planctomycetes	Pirellula
Planctomycetes	Planctomyces
Planctomycetes	Planctopirus
Planctomycetes	Rhodopirellula
Planctomycetes	Rubinisphaera
Proteobacteria	Acidithiobacillus
Proteobacteria	Candidatus_Puniceispirillum
Proteobacteria	Micavibrio
Proteobacteria	Polymorphum
Proteobacteria	Asticcacaulis
Proteobacteria	Brevundimonas
Proteobacteria	Caulobacter
Proteobacteria	Phenylobacterium
Proteobacteria	Candidatus_Paracaedibacter
Proteobacteria	Magnetococcus
Proteobacteria	Parvularcula
Proteobacteria	Candidatus_Pelagibacter
Proteobacteria	Aureimonas
Proteobacteria	Martelella
Proteobacteria	Bartonella
Proteobacteria	Beijerinckia
Proteobacteria	Chelatococcus
Proteobacteria	Methylocella
Proteobacteria	Bosea
Proteobacteria	Bradyrhizobium
Proteobacteria	Nitrobacter
Proteobacteria	Oligotropha
Proteobacteria	Rhodopseudomonas
Proteobacteria	Brucella
Proteobacteria	Ochrobactrum
Proteobacteria	Blastochloris
Proteobacteria	Devosia
Proteobacteria	Filomicrobium
Proteobacteria	Hyphomicrobium
Proteobacteria	Pelagibacterium
Proteobacteria	Rhodomicrobium
Proteobacteria	Rhodoplanes
Proteobacteria	Methylobacterium
Proteobacteria	Methylocystis
Proteobacteria	Aminobacter
Proteobacteria	Chelativorans
Proteobacteria	Hoeflea
Proteobacteria	Mesorhizobium
Proteobacteria	Nitratireductor
Proteobacteria	Agrobacterium
Proteobacteria	Ensifer
Proteobacteria	Liberibacter
Proteobacteria	Neorhizobium
Proteobacteria	Rhizobium
Proteobacteria	Shinella
Proteobacteria	Sinorhizobium
Proteobacteria	Parvibaculum
Proteobacteria	Azorhizobium
Proteobacteria	Starkeya
Proteobacteria	Xanthobacter
Proteobacteria	Methyloceanibacter
Proteobacteria	Hirschia
Proteobacteria	Hyphomonas
Proteobacteria	Maricaulis
Proteobacteria	Celeribacter
Proteobacteria	Confluentimicrobium
Proteobacteria	Defluviimonas
Proteobacteria	Dinoroseobacter
Proteobacteria	Donghicola
Proteobacteria	Halocynthiibacter
Proteobacteria	Jannaschia
Proteobacteria	Ketogulonicigenium
Proteobacteria	Labrenzia
Proteobacteria	Leisingera
Proteobacteria	Marinovum
Proteobacteria	Octadecabacter
Proteobacteria	Pannonibacter
Proteobacteria	Paracoccus
Proteobacteria	Pelagibaca
Proteobacteria	Phaeobacter
Proteobacteria	Planktomarina
Proteobacteria	Rhodobacter
Proteobacteria	Rhodovulum
Proteobacteria	Roseibacterium
Proteobacteria	Roseobacter
Proteobacteria	Ruegeria
Proteobacteria	Sulfitobacter
Proteobacteria	Tateyamaria
Proteobacteria	Thiobacimonas
Proteobacteria	Thioclava
Proteobacteria	Yangia
Proteobacteria	Acetobacter
Proteobacteria	Acidiphilium
Proteobacteria	Asaia
Proteobacteria	Gluconacetobacter
Proteobacteria	Gluconobacter
Proteobacteria	Granulibacter
Proteobacteria	Komagataeibacter
Proteobacteria	Kozakia
Proteobacteria	Neoasaia
Proteobacteria	Roseomonas
Proteobacteria	Azospirillum
Proteobacteria	Candidatus_Endolissoclinum
Proteobacteria	Haematospirillum
Proteobacteria	Magnetospira
Proteobacteria	Magnetospirillum
Proteobacteria	Pararhodospirillum
Proteobacteria	Rhodospirillum
Proteobacteria	Thalassospira
Proteobacteria	Tistrella
Proteobacteria	Anaplasma
Proteobacteria	Ehrlichia
Proteobacteria	Neorickettsia
Proteobacteria	Wolbachia
Proteobacteria	Candidatus_Midichloria
Proteobacteria	Orientia
Proteobacteria	Rickettsia
Proteobacteria	Altererythrobacter
Proteobacteria	Croceicoccus
Proteobacteria	Erythrobacter
Proteobacteria	Porphyrobacter
Proteobacteria	Blastomonas
Proteobacteria	Citromicrobium
Proteobacteria	Novosphingobium
Proteobacteria	Sphingobium
Proteobacteria	Sphingomonas
Proteobacteria	Sphingopyxis
Proteobacteria	Sphingorhabdus
Proteobacteria	Zymomonas
Proteobacteria	Candidatus_Accumulibacter
Proteobacteria	Candidatus_Profftella
Proteobacteria	Kinetoplastibacterium
Proteobacteria	Achromobacter
Proteobacteria	Advenella
Proteobacteria	Alcaligenes
Proteobacteria	Basilea
Proteobacteria	Bordetella
Proteobacteria	Castellaniella
Proteobacteria	Paenalcaligenes
Proteobacteria	Pusillimonas
Proteobacteria	Taylorella
Proteobacteria	Burkholderia
Proteobacteria	Cupriavidus
Proteobacteria	Pandoraea
Proteobacteria	Paraburkholderia
Proteobacteria	Polynucleobacter
Proteobacteria	Ralstonia
Proteobacteria	Acidovorax
Proteobacteria	Alicycliphilus
Proteobacteria	Candidatus_Symbiobacter
Proteobacteria	Comamonas
Proteobacteria	Delftia
Proteobacteria	Hydrogenophaga
Proteobacteria	Limnohabitans
Proteobacteria	Ottowia
Proteobacteria	Polaromonas
Proteobacteria	Ramlibacter
Proteobacteria	Rhodoferax
Proteobacteria	Variovorax
Proteobacteria	Verminephrobacter
Proteobacteria	Collimonas
Proteobacteria	Herbaspirillum
Proteobacteria	Herminiimonas
Proteobacteria	Janthinobacterium
Proteobacteria	Massilia
Proteobacteria	Leptothrix
Proteobacteria	Methylibium
Proteobacteria	Mitsuaria
Proteobacteria	Paucibacter
Proteobacteria	Roseateles
Proteobacteria	Rubrivivax
Proteobacteria	Thiomonas
Proteobacteria	Gallionella
Proteobacteria	Sideroxydans
Proteobacteria	Thiobacillus
Proteobacteria	Candidatus_Methylopumilus
Proteobacteria	Methylobacillus
Proteobacteria	Methylophilus
Proteobacteria	Methylotenera
Proteobacteria	Methylovorus
Proteobacteria	Aquaspirillum
Proteobacteria	Chromobacterium
Proteobacteria	Jeongeupia
Proteobacteria	Laribacter
Proteobacteria	Pseudogulbenkiania
Proteobacteria	Kingella
Proteobacteria	Neisseria
Proteobacteria	Snodgrassella
Proteobacteria	Nitrosomonas
Proteobacteria	Nitrosospira
Proteobacteria	Aromatoleum
Proteobacteria	Azoarcus
Proteobacteria	Azospira
Proteobacteria	Dechloromonas
Proteobacteria	Methyloversatilis
Proteobacteria	Sulfuritalea
Proteobacteria	Thauera
Proteobacteria	Sulfuricella
Proteobacteria	Candidatus_Babela
Proteobacteria	Bdellovibrio
Proteobacteria	Halobacteriovorax
Proteobacteria	Desulfarculus
Proteobacteria	Desulfatibacillum
Proteobacteria	Desulfobacterium
Proteobacteria	Desulfobacula
Proteobacteria	Desulfococcus
Proteobacteria	Desulfobulbus
Proteobacteria	Desulfocapsa
Proteobacteria	Desulfotalea
Proteobacteria	Desulfurivibrio
Proteobacteria	Desulfohalobium
Proteobacteria	Desulfomicrobium
Proteobacteria	Desulfovibrio
Proteobacteria	Lawsonia
Proteobacteria	Desulfurella
Proteobacteria	Hippea
Proteobacteria	Desulfuromonas
Proteobacteria	Pelobacter
Proteobacteria	Geoalkalibacter
Proteobacteria	Geobacter
Proteobacteria	Anaeromyxobacter
Proteobacteria	Archangium
Proteobacteria	Stigmatella
Proteobacteria	Haliangium
Proteobacteria	Corallococcus
Proteobacteria	Myxococcus
Proteobacteria	Chondromyces
Proteobacteria	Sorangium
Proteobacteria	Sandaracinus
Proteobacteria	Vulgatibacter
Proteobacteria	Desulfobacca
Proteobacteria	Desulfomonile
Proteobacteria	Syntrophus
Proteobacteria	Syntrophobacter
Proteobacteria	Nitratiruptor
Proteobacteria	Sulfurovum
Proteobacteria	Arcobacter
Proteobacteria	Campylobacter
Proteobacteria	Sulfurospirillum
Proteobacteria	Helicobacter
Proteobacteria	Sulfuricurvum
Proteobacteria	Sulfurimonas
Proteobacteria	Wolinella
Proteobacteria	Nitratifractor
Proteobacteria	Nautilia
Proteobacteria	Candidatus_Ruthia
Proteobacteria	Pseudohongiella
Proteobacteria	Sedimenticola
Proteobacteria	Thiolapillus
Proteobacteria	Aeromonas
Proteobacteria	Oceanimonas
Proteobacteria	Tolumonas
Proteobacteria	Agarivorans
Proteobacteria	Alteromonas
Proteobacteria	Glaciecola
Proteobacteria	Lacimicrobium
Proteobacteria	Marinobacter
Proteobacteria	Paraglaciecola
Proteobacteria	Colwellia
Proteobacteria	Thalassotalea
Proteobacteria	Ferrimonas
Proteobacteria	Idiomarina
Proteobacteria	Moritella
Proteobacteria	Pseudoalteromonas
Proteobacteria	Psychromonas
Proteobacteria	Shewanella
Proteobacteria	Dichelobacter
Proteobacteria	Cellvibrio
Proteobacteria	Saccharophagus
Proteobacteria	Simiduia
Proteobacteria	Teredinibacter
Proteobacteria	Halioglobus
Proteobacteria	Microbulbifer
Proteobacteria	Spongiibacter
Proteobacteria	Zhongshania
Proteobacteria	Allochromatium
Proteobacteria	Marichromatium
Proteobacteria	Nitrosococcus
Proteobacteria	Thiocystis
Proteobacteria	Thioflavicoccus
Proteobacteria	Acidihalobacter
Proteobacteria	Alkalilimnicola
Proteobacteria	Ectothiorhodospira
Proteobacteria	Halorhodospira
Proteobacteria	Spiribacter
Proteobacteria	Thioalkalivibrio
Proteobacteria	Halothiobacillus
Proteobacteria	Wenzhouxiangella
Proteobacteria	Woeseia
Proteobacteria	Pragia
Proteobacteria	Candidatus_Blochmannia
Proteobacteria	Candidatus_Doolittlea
Proteobacteria	Candidatus_Gullanella
Proteobacteria	Candidatus_Hoaglandella
Proteobacteria	Candidatus_Ishikawaella
Proteobacteria	Candidatus_Mikella
Proteobacteria	Candidatus_Moranella
Proteobacteria	Candidatus_Riesia
Proteobacteria	Candidatus_Tachikawaea
Proteobacteria	Cedecea
Proteobacteria	Citrobacter
Proteobacteria	Cronobacter
Proteobacteria	Enterobacter
Proteobacteria	Escherichia
Proteobacteria	Klebsiella
Proteobacteria	Kluyvera
Proteobacteria	Kosakonia
Proteobacteria	Leclercia
Proteobacteria	Lelliottia
Proteobacteria	Pluralibacter
Proteobacteria	Raoultella
Proteobacteria	Salmonella
Proteobacteria	Shigella
Proteobacteria	Shimwellia
Proteobacteria	Buchnera
Proteobacteria	Erwinia
Proteobacteria	Pantoea
Proteobacteria	Wigglesworthia
Proteobacteria	Edwardsiella
Proteobacteria	Hafnia
Proteobacteria	Obesumbacterium
Proteobacteria	Arsenophonus
Proteobacteria	Morganella
Proteobacteria	Photorhabdus
Proteobacteria	Proteus
Proteobacteria	Providencia
Proteobacteria	Xenorhabdus
Proteobacteria	Dickeya
Proteobacteria	Pectobacterium
Proteobacteria	Sodalis
Proteobacteria	Chania
Proteobacteria	Rahnella
Proteobacteria	Serratia
Proteobacteria	Yersinia
Proteobacteria	Plesiomonas
Proteobacteria	Immundisolibacter
Proteobacteria	Coxiella
Proteobacteria	Legionella
Proteobacteria	Tatlockia
Proteobacteria	Methylococcus
Proteobacteria	Methylomicrobium
Proteobacteria	Methylomonas
Proteobacteria	Steroidobacter
Proteobacteria	Alcanivorax
Proteobacteria	Hahella
Proteobacteria	Candidatus_Carsonella
Proteobacteria	Candidatus_Evansia
Proteobacteria	Candidatus_Portiera
Proteobacteria	Chromohalobacter
Proteobacteria	Halomonas
Proteobacteria	Halotalea
Proteobacteria	Kangiella
Proteobacteria	Marinobacterium
Proteobacteria	Marinomonas
Proteobacteria	Oleispira
Proteobacteria	Thalassolituus
Proteobacteria	Gynuella
Proteobacteria	Frischella
Proteobacteria	Gilliamella
Proteobacteria	Actinobacillus
Proteobacteria	Aggregatibacter
Proteobacteria	Basfia
Proteobacteria	Bibersteinia
Proteobacteria	Gallibacterium
Proteobacteria	Haemophilus
Proteobacteria	Histophilus
Proteobacteria	Mannheimia
Proteobacteria	Pasteurella
Proteobacteria	Acinetobacter
Proteobacteria	Moraxella
Proteobacteria	Psychrobacter
Proteobacteria	Azotobacter
Proteobacteria	Oblitimonas
Proteobacteria	Pseudomonas
Proteobacteria	Allofrancisella
Proteobacteria	Francisella
Proteobacteria	Cycloclasticus
Proteobacteria	Methylophaga
Proteobacteria	Piscirickettsia
Proteobacteria	Thioalkalimicrobium
Proteobacteria	Thiomicrospira
Proteobacteria	Beggiatoa
Proteobacteria	Thioploca
Proteobacteria	Aliivibrio
Proteobacteria	Grimontia
Proteobacteria	Photobacterium
Proteobacteria	Vibrio
Proteobacteria	Dokdonella
Proteobacteria	Dyella
Proteobacteria	Frateuria
Proteobacteria	Rhodanobacter
Proteobacteria	Lysobacter
Proteobacteria	Pseudoxanthomonas
Proteobacteria	Stenotrophomonas
Proteobacteria	Xanthomonas
Proteobacteria	Xylella
Spirochaetes	Leptospira
Spirochaetes	Turneriella
Spirochaetes	Brachyspira
Spirochaetes	Borrelia
Spirochaetes	Borreliella
Spirochaetes	Salinispira
Spirochaetes	Sediminispirochaeta
Spirochaetes	Sphaerochaeta
Spirochaetes	Spirochaeta
Spirochaetes	Treponema
Synergistetes	Acetomicrobium
Synergistetes	Aminobacterium
Synergistetes	Cloacibacillus
Synergistetes	Thermanaerovibrio
Synergistetes	Thermovirga
Tenericutes	Acholeplasma
Tenericutes	Candidatus_Phytoplasma
Tenericutes	Mesoplasma
Tenericutes	Spiroplasma
Tenericutes	Mycoplasma
Tenericutes	Ureaplasma
Tenericutes	Candidatus_Izimaplasma
Thermodesulfobacteria	Caldimicrobium
Thermodesulfobacteria	Thermodesulfatator
Thermodesulfobacteria	Thermodesulfobacterium
Thermotogae	Kosmotoga
Thermotogae	Mesotoga
Thermotogae	Defluviitoga
Thermotogae	Marinitoga
Thermotogae	Petrotoga
Thermotogae	Fervidobacterium
Thermotogae	Thermosipho
Thermotogae	Pseudothermotoga
Thermotogae	Thermotoga
Verrucomicrobia	Methylacidiphilum
Verrucomicrobia	Lacunisphaera
Verrucomicrobia	Opitutus
Verrucomicrobia	Coraliomargarita
Verrucomicrobia	Candidatus_Xiphinematobacter
Verrucomicrobia	Akkermansia
