Level_1	Level_2	Level_3
Carbohydrates	Organic_acids	Alpha-acetolactate_operon
Carbohydrates	Polysaccharides	Alpha-Amylase_locus_in_Streptocococcus
Nitrogen_Metabolism	-	Amidase_clustered_with_urea_and_nitrile_hydratase_functions
Amino_Acids_and_Derivatives	-	Amino_acid_racemase
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Aminoglycoside_adenylyltransferases
Nitrogen_Metabolism	-	Ammonia_assimilation
Nucleosides_and_Nucleotides	-	AMP_to_3-phosphoglycerate
Arabinose_Sensor_and_transport_module	Arabinose	An_Arabinose_Sensor
Metabolism_of_Aromatic_Compounds	Anaerobic_degradation_of_aromatic_compounds	Anaerobic_Aromatic_Degredation_(benzoate)
Metabolism_of_Aromatic_Compounds	Anaerobic_degradation_of_aromatic_compounds	Anaerobic_benzoate_metabolism
Amino_Acids_and_Derivatives	Arginine;_urea_cycle_polyamines	Anaerobic_Oxidative_Degradation_of_L-Ornithine
Respiration	Electron_accepting_reactions	Anaerobic_respiratory_reductases
Cell_Wall_and_Capsule	Gram-Positive_cell_wall_components	Anthrose_Biosynthesis
Motility_and_Chemotaxis	Flagellar_motility_in_Prokaryota	Archaeal_Flagellum
Fatty_Acids_Lipids_and_Isoprenoids	Isoprenoids	Archaeal_lipids
Fatty_Acids_Lipids_and_Isoprenoids	Isoprenoids	archaeal_lipids_bobik
Respiration	Reverse_electron_transport	Archaeal_membrane_bound_hydrogenases
Miscellaneous	-	Archease
Miscellaneous	-	Archease2
Amino_Acids_and_Derivatives	Arginine;_urea_cycle_polyamines	Arginine_and_Ornithine_Degradation
Amino_Acids_and_Derivatives	Arginine;_urea_cycle_polyamines	Arginine_Biosynthesis_extended
Amino_Acids_and_Derivatives	Arginine;_urea_cycle_polyamines	Arginine_Deiminase_Pathway
Amino_Acids_and_Derivatives	Arginine;_urea_cycle_polyamines	Arginine_metabolism_and_urea_cycle_in_plants
Metabolism_of_Aromatic_Compounds	-	Aromatic_Amin_Catabolism
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives	Aromatic_amino_acid_degradation
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Arsenic_resistance
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At1g01770
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At1g14345
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At1g21350
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At1g24340
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At1g26220_At1g32070
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At1g33290_At1g73170_At3g10420
Miscellaneous	Plant-Prokaryote_comparative_genomics	At1g48360
Miscellaneous	Plant-Prokaryote_comparative_genomics	At1g54520
Miscellaneous	Plant-Prokaryote_comparative_genomics	At1g69340_At2g40600
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At2g23840
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At2g25870
Miscellaneous	Plant-Prokaryote_comparative_genomics	At2g33980_At1g28960
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At3g21300
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At3g50560
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At4g10620_At3g57180_At3g47450
Predictions_based_on_plant-prokaryote_comparative_analysis	-	At4g17370
Miscellaneous	Plant-Prokaryote_comparative_genomics	At5g04520_AT1G06240
Sulfur_Metabolism	Organic_sulfur_assimilation	At5g37530_(CsdL_protein_family)
Stress_Response	Heat_shock	At5g63290
Membrane_Transport	ABC_transporters	ATP-dependent_efflux_pump_transporter_Ybh
DNA_Metabolism	DNA_repair	ATP-dependent_Nuclease
RNA_Metabolism	RNA_processing_and_modification	ATP-dependent_RNA_helicases_bacterial
Regulation_and_Cell_signaling	Quorum_sensing_and_biofilm_formation	Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)
Secondary_Metabolism	Plant_Hormones	Auxin_biosynthesis
Secondary_Metabolism	Plant_Hormones	Auxin_degradation
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	B12_duf71
Iron_acquisition_and_metabolism	Siderophores	Bacillibactin_Siderophore
Dormancy_and_Sporulation	-	Bacillus_biofilm_matrix_protein_component_TasA_and_homologs
Dormancy_and_Sporulation	-	Bacillus_Sporulation_Killing_Factor_A_Biosynthetic_Cluster
Secondary_Metabolism	-	Bacillus_subtilis_yydFGHIJ_operon
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives	Bacilysin_biosynthesis
Virulence_Disease_and_Defense	Bacteriocins_ribosomally_synthesized_antibacterial_peptides	Bacitracin_Stress_Response
Regulation_and_Cell_signaling	Programmed_Cell_Death_and_Toxin-antitoxin_Systems	Bacterial_Caspases
Clustering-based_subsystems	-	Bacterial_Cell_Division
Motility_and_Chemotaxis	-	Bacterial_Chemotaxis
Virulence_Disease_and_Defense	-	Bacterial_cyanide_production_and_tolerance_mechanisms
Cell_Division_and_Cell_Cycle	-	Bacterial_Cytoskeleton
Stress_Response	-	Bacterial_hemoglobins
Photosynthesis	Light-harvesting_complexes	Bacterial_light-harvesting_proteins
Miscellaneous	-	Bacterial_Luciferases
Motility_and_Chemotaxis	Social_motility_and_nonflagellar_swimming_in_bacteria	Bacterial_motility:Gliding
Sulfur_Metabolism	-	Bacterial_pathways_for_dimethylsulfoniopropionate_and_acrylate_catabolism
Virulence_Disease_and_Defense	Bacteriocins_ribosomally_synthesized_antibacterial_peptides	Bacteriocin-like_peptides_Blp
Virulence_Disease_and_Defense	Bacteriocins_ribosomally_synthesized_antibacterial_peptides	Bacteriocins_in_Lactobacilli
Cell_Wall_and_Capsule	Gram-Negative_cell_wall_components	Bacteroides_capsular_polysaccharide_transcription_antitermination_proteins
Miscellaneous	-	BactLuciferaseComplex
Metabolism_of_Aromatic_Compounds	Peripheral_pathways_for_catabolism_of_aromatic_compounds	Benzoate_catabolism
Metabolism_of_Aromatic_Compounds	Peripheral_pathways_for_catabolism_of_aromatic_compounds	Benzoate_degradation
Metabolism_of_Aromatic_Compounds	-	Benzoate_transport_and_degradation_cluster
Carbohydrates	CO2_fixation	beta_carboxysome
Carbohydrates	Di-_and_oligosaccharides	Beta-Glucoside_Metabolism
Carbohydrates	-	beta-glucuronide_utilization
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Beta-lactamase
Carbohydrates	-	Beta-lactamase_cluster_in_Streptococcus
Fatty_Acids_Lipids_and_Isoprenoids	-	Betaine_lipids_in_bactera
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Lipoic_acid	BEY_LIP
Secondary_Metabolism	Biosynthesis_of_phenylpropanoids	Biflavanoid_biosynthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Bilin_Biosynthesis
Regulation_and_Cell_signaling	Quorum_sensing_and_biofilm_formation	Biofilm_Adhesin_Biosynthesis
Regulation_and_Cell_signaling	Quorum_sensing_and_biofilm_formation	Biofilm_formation_in_Staphylococcus
Respiration	-	Biogenesis_of_c-type_cytochromes
Respiration	-	Biogenesis_of_cbb3-type_cytochrome_c_oxidases
Respiration	-	Biogenesis_of_cytochrome_c_oxidases
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Biotin	Biotin_biosynthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Biotin	Biotin_biosynthesis_in_plants
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Biotin	Biotin_synthesis_&_utilization
Metabolism_of_Aromatic_Compounds	Peripheral_pathways_for_catabolism_of_aromatic_compounds	Biphenyl_Degradation
Virulence	Resistance_to_antibiotics_and_toxic_compounds	BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation
Regulation_and_Cell_signaling	-	BOX_RUP_and_SPRITE_repeats_in_Streptococcus_pneumoniae
Amino_Acids_and_Derivatives	Branched-chain_amino_acids	Branched_chain_amino_acid_degradation_regulons
Amino_Acids_and_Derivatives	Branched-chain_amino_acids	Branched-Chain_Amino_Acid_Biosynthesis
Amino_Acids_and_Derivatives	Branched-chain_amino_acids	Branched-chain_amino_acid_metabolism_in_plants
Miscellaneous	-	Broadly_distributed_proteins_not_in_subsystems
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Brucella_Wbk_Region_and_LPS_genes
Carbohydrates	Fermentation	Butanol_Biosynthesis
Virulence_Disease_and_Defense	-	C_jejuni_colonization_of_chick_caeca
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Cadmium_resistance
Secondary_Metabolism	Biosynthesis_of_phenylpropanoids	Caffeic_acid_derivatives
Carbohydrates	CO2_fixation	Calvin-Benson_cycle
Carbohydrates	CO2_fixation	Calvin-Benson-Bassham_cycle_in_plants
Regulation_and_Cell_signaling	-	cAMP_signaling_in_bacteria
Iron_acquisition_and_metabolism	-	Campylobacter_Iron_Metabolism
Secondary_Metabolism	Lipid-derived_mediators	Cannabinoid_biosynthesis
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Capsular_heptose_biosynthesis
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Capsular_Polysaccharide_(CPS)_of_Campylobacter
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Capsular_Polysaccharides_Biosynthesis_and_Assembly
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Capsular_surface_virulence_antigen_loci
Metabolism_of_Aromatic_Compounds	-	carbazol_degradation_cluster
Respiration	-	Carbon_monoxide_dehydrogenase_maturation_factors
Respiration	-	Carbon_monoxide_induced_hydrogenase
Stress_Response	-	Carbon_Starvation
Carbohydrates	CO2_fixation	Carboxysome
Transcriptional_regulation	-	CarD
Fatty_Acids_Lipids_and_Isoprenoids	Fatty_acids	Carnitine_Metabolism_in_Microorganisms
Fatty_Acids_Lipids_and_Isoprenoids	Isoprenoids	Carotenoid_biosynthesis
Fatty_Acids_Lipids_and_Isoprenoids	Isoprenoids	Carotenoids
Metabolism_of_Aromatic_Compounds	Metabolism_of_central_aromatic_intermediates	Catechol_branch_of_beta-ketoadipate_pathway
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	CbiZ_Main
Clustering-based_subsystems	-	CBSS-100226.1.peg.2266
Clustering-based_subsystems	Pigment_biosynthesis	CBSS-176299.3.peg.235
Clustering-based_subsystems	Probably_GTP_or_GMP_signaling_related	CBSS-176299.4.peg.1292
Clustering-based_subsystems	contains_Thr-tRNA-syn_pyridoxine_biosyn_lipid_A_biosyn_3_hypos	CBSS-1806.1.peg.1285
Clustering-based_subsystems	Three_hypotheticals_linked_to_lipoprotein_biosynthesis	CBSS-188.1.peg.9880
Clustering-based_subsystems	Shiga_toxin_cluster	CBSS-194948.1.peg.143
Clustering-based_subsystems	Cytochrome_biogenesis	CBSS-196164.1.peg.1690
Clustering-based_subsystems	Cytochrome_biogenesis	CBSS-196164.1.peg.461
Clustering-based_subsystems	-	CBSS-196620.1.peg.2477
Clustering-based_subsystems	Recombination_related_cluster	CBSS-198094.1.peg.4426
Phages_Prophages_Transposable_elements_Plasmids	Transposable_elements	CBSS-203122.12.peg.188
Clustering-based_subsystems	Fage-related_replication	CBSS-205914.5.peg.1403
Clustering-based_subsystems	Urate_degradation	CBSS-205922.3.peg.1809
Clustering-based_subsystems	-	CBSS-208964.1.peg.1012
Clustering-based_subsystems	-	CBSS-211586.1.peg.2357
Clustering-based_subsystems	-	CBSS-211586.1.peg.3133
Clustering-based_subsystems	CRISPRs_and_associated_hypotheticals	CBSS-216592.1.peg.3534
Clustering-based_subsystems	-	CBSS-216592.1.peg.3937
Clustering-based_subsystems	Nucleotidyl-phosphate_metabolic_cluster	CBSS-222523.1.peg.1311
Clustering-based_subsystems	Degradation_of_Polyphenols_(?)	CBSS-232721.5.peg.360
Clustering-based_subsystems	Translation	CBSS-243265.1.peg.198
Clustering-based_subsystems	Fatty_acid_metabolic_cluster	CBSS-246196.1.peg.364
Clustering-based_subsystems	Hypothetical_protein_possible_functionally_linked_with_Alanyl-tRNA_synthetase	CBSS-257314.1.peg.488
Clustering-based_subsystems	Two_related_proteases	CBSS-257314.1.peg.676
Clustering-based_subsystems	Biosynthesis_of_galactoglycans_and_related_lipopolysacharides	CBSS-258594.1.peg.3339
Clustering-based_subsystems	recX_and_regulatory_cluster	CBSS-261594.1.peg.788
Clustering-based_subsystems	Catabolism_of_an_unknown_compound	CBSS-262316.1.peg.2929
Clustering-based_subsystems	-	CBSS-262719.3.peg.410
Clustering-based_subsystems	Methylamine_utilization	CBSS-265072.7.peg.546
Clustering-based_subsystems	Probably_organic_hydroperoxide_resistance_related_hypothetical_protein	CBSS-269482.1.peg.1294
Clustering-based_subsystems	Molybdopterin_oxidoreductase	CBSS-269799.3.peg.2220
Clustering-based_subsystems	DNA_metabolism	CBSS-269801.1.peg.2186
Clustering-based_subsystems	-	CBSS-279010.5.peg.3195
Clustering-based_subsystems	-	CBSS-280355.3.peg.2835
Clustering-based_subsystems	-	CBSS-281090.3.peg.464
Clustering-based_subsystems	Pyruvate_kinase_associated_cluster	CBSS-288000.5.peg.1793
Clustering-based_subsystems	-	CBSS-292415.3.peg.2341
Clustering-based_subsystems	Probably_Pyrimidine_biosynthesis-related	CBSS-306254.1.peg.1508
Clustering-based_subsystems	Putative_Isoquinoline_1-oxidoreductase_subunit	CBSS-314267.3.peg.390
Clustering-based_subsystems	Putative_asociate_of_RNA_polymerase_sigma-54_factor_rpoN	CBSS-316057.3.peg.1308
Clustering-based_subsystems	-	CBSS-316057.3.peg.563
Clustering-based_subsystems	Probably_Ybbk-related_hypothetical_membrane_proteins	CBSS-316057.3.peg.659
Clustering-based_subsystems	-	CBSS-316275.9.peg.382
Clustering-based_subsystems	Hypothetical_lipase_related_to_Phosphatidate_metabolism	CBSS-316407.3.peg.1371
Clustering-based_subsystems	-	CBSS-318161.14.peg.2599
Clustering-based_subsystems	-	CBSS-320372.3.peg.6046
Clustering-based_subsystems	Carotenoid_biosynthesis	CBSS-320388.3.peg.3759
Clustering-based_subsystems	Flagella_protein?	CBSS-323098.3.peg.2823
Clustering-based_subsystems	Chemotaxis_response_regulators	CBSS-323850.3.peg.3142
Clustering-based_subsystems	Hypothetical_in_Lysine_biosynthetic_cluster	CBSS-323850.3.peg.3269
Clustering-based_subsystems	Putative_GGDEF_domain_protein_related_to_agglutinin_secretion	CBSS-323850.3.peg.3284
Clustering-based_subsystems	Translation	CBSS-326442.4.peg.1852
Clustering-based_subsystems	DNA_polymerase_III_epsilon_cluster	CBSS-342610.3.peg.1536
Clustering-based_subsystems	D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.1.-.-)_cluster	CBSS-342610.3.peg.283
Clustering-based_subsystems	Choline_bitartrate_degradation_putative	CBSS-344610.3.peg.2335
Clustering-based_subsystems	-	CBSS-350688.3.peg.1509
Clustering-based_subsystems	TldD_cluster	CBSS-354.1.peg.2917
Clustering-based_subsystems	Biosynthesis_of_galactoglycans_and_related_lipopolysacharides	CBSS-376686.6.peg.291
Clustering-based_subsystems	Protein_export?	CBSS-393121.3.peg.2760
Clustering-based_subsystems	Related_to_Menaquinone-cytochrome_C_reductase_	CBSS-393130.3.peg.129
Clustering-based_subsystems	Cell_Division	CBSS-393130.3.peg.794
Clustering-based_subsystems	Tricarboxylate_transporter	CBSS-49338.1.peg.459
Clustering-based_subsystems	-	CBSS-498211.3.peg.1514
Clustering-based_subsystems	_Tartronate-semialdehyde_related_area_(links_to_pyridoxine_and_aldorate_metabolism)	CBSS-502800.3.peg.2785
Clustering-based_subsystems	alpha-proteobacterial_cluster_of_hypotheticals	CBSS-52598.3.peg.2843
Clustering-based_subsystems	-	CBSS-56780.10.peg.1536
Clustering-based_subsystems	A_bicyclomycin_resistance_protein_a_helicase_and_a_pseudouridine_synthase	CBSS-584.1.peg.841
Clustering-based_subsystems	Membrane-bound_hydrogenase	CBSS-69014.3.peg.2094
Clustering-based_subsystems	Isoprenoid/cell_wall_biosynthesis:_PREDICTED_UNDECAPRENYL_DIPHOSPHATE_PHOSPHATASE	CBSS-83331.1.peg.3039
Amino_Acids_and_Derivatives	Lysine_threonine_methionine_and_cysteine	CBSS-84588.1.peg.1247
Clustering-based_subsystems	tRNA_sulfuration	CBSS-89187.3.peg.2957
Fatty_Acids_Lipids_and_Isoprenoids	Phospholipids	CDP-diacylglycerol_biosynthesis_in_plants
Clustering-based_subsystems	Cell_Division	Cell_Division_Cluster
Clustering-based_subsystems	Cell_Division	cell_division_cluster_containing_FtsQ
Clustering-based_subsystems	Cell_Division	Cell_division_cluster_containing_FtsZ_and_FtsW
Clustering-based_subsystems	Cell_Division	Cell_Division_Subsystem_including_YidCD
Clustering-based_subsystems	-	Cell_division-ribosomal_stress_proteins_cluster
Regulation_and_Cell_signaling	-	Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators
Plant_cell_walls_and_outer_surfaces	-	Cellulose_biosynthesis_in_plants
Carbohydrates	Polysaccharides	Cellulosome
Metabolism_of_Aromatic_Compounds	Metabolism_of_central_aromatic_intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation
Sulfur_Metabolism	-	CFE_Sulfur_Oxidation
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization
Carbohydrates	Di-_and_oligosaccharides	Chitobiose
Metabolism_of_Aromatic_Compounds	Peripheral_pathways_for_catabolism_of_aromatic_compounds	Chloroaromatic_degradation_pathway
Metabolism_of_Aromatic_Compounds	Peripheral_pathways_for_catabolism_of_aromatic_compounds	Chlorobenzoate_degradation
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Chlorophyll_Biosynthesis_in_plants_and_prokaryotes
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Chlorophyll_Degradation
Photosynthesis	Light-harvesting_complexes	Chlorosome
Virulence_Disease_and_Defense	Toxins_and_superantigens	Cholera_toxin
Fatty_Acids_Lipids_and_Isoprenoids	-	Cholesterol_catabolic_operon_in_Mycobacteria
Stress_Response	Osmotic_stress	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis
Fatty_Acids_Lipids_and_Isoprenoids	Phospholipids	Choline_biosynthesis_in_plants
Membrane_Transport	-	Choline_Transport
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives	Chorismate_Synthesis
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives	Cinnamic_Acid_Degradation
Carbohydrates	Organic_acids	CitAB
Carbohydrates	Organic_acids	Citrate_Metabolism_KE2
Membrane_Transport	-	Citrate_Utilization_System_(CitAB_CitH_and_tctABC)
Secondary_Metabolism	Bacterial_cytostatics_differentiation_factors_and_antibiotics	Clavulanic_acid_biosynthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	-	CLO_thiaminPP_biosynthesis
Carbohydrates	-	Cluster_Ytf_and_putative_sugar_transporter
Clustering-based_subsystems	proteosome_related	Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	CMP-N-acetylneuraminate_Biosynthesis
Virulence_Disease_and_Defense	Adhesion	CMP-pseudaminic_acid_pathway_in_Helicobacter_pylori
Respiration	Electron_donating_reactions	CO_Dehydrogenase
Carbohydrates	CO2_fixation	CO2_uptake_carboxysome
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_A	coA-FolK
Regulation_and_Cell_signaling	Proteolytic_pathway	Coagulation_cascade
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Cobalamin
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Cobalamin_Dh
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Cobalamin_synthesis
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Cobalt-zinc-cadmium_resistance
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_A	Coenzyme_A_Biosynthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_B	Coenzyme_B_synthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Tetrapyrroles	Coenzyme_B12_biosynthesis
Clustering-based_subsystems	-	Coenzyme_B12_related_Hypothetical:_Clusters_with_cobST
Respiration	Electron_donating_reactions	Coenzyme_F420_hydrogenase
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_F420	Coenzyme_F420_synthesis
Respiration	Electron_donating_reactions	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_M	coenzyme_M_biosynthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Quinone_cofactors	Coenzyme_PQQ_synthesis
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_M	CoenzymeM_Archaea
Miscellaneous	Plant-Prokaryote_comparative_genomics	COG0277
Miscellaneous	Plant-Prokaryote_comparative_genomics	COG1836
Miscellaneous	Plant-Prokaryote_comparative_genomics	COG2016
Miscellaneous	Plant-Prokaryote_comparative_genomics	COG2363
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Colanic_acid_biosynthesis
Stress_Response	Cold_shock	Cold_shock_CspA_family_of_proteins
Virulence_Disease_and_Defense	Bacteriocins_ribosomally_synthesized_antibacterial_peptides	Colicin_V_and_Bacteriocin_Production_Cluster
Membrane_Transport	Protein_secretion_system_Chaperone-Usher_pathway_(CU)	Colonization_factor_antigen_I_fimbriae
Stress_Response	-	Commensurate_regulon_activation
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)
DNA_Metabolism	DNA_uptake_competence	Competence_in_Streptococci
Miscellaneous	Plant-Prokaryote_comparative_genomics	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families
Phages_Prophages_Transposable_elements_Plasmids	Transposable_elements	Conjugative_transposon_Bacteroidales
Carbohydrates	-	Conserved_cluster_around_inner_membrane_protein_gene_yghQ_probably_involved_in_polysaccharide_biosynthesis
Miscellaneous	Plant-Prokaryote_comparative_genomics	Conserved_gene_cluster_possibly_involved_in_RNA_metabolism
Cell_Division_and_Cell_Cycle	-	Control_of_cell_elongation_-_division_cycle_in_Bacilli
Motility_and_Chemotaxis	Social_motility_and_nonflagellar_swimming_in_bacteria	Control_of_Swarming_in_Vibrio_and_Shewanella_species
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Copper_homeostasis
